"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","v_CA16_401: Population, 2016","v_CA16_409: Single-detached house","v_CA16_410: Apartment in a building that has five or more storeys","v_CA16_3954: Total - Visible minority for the population in private households - 25% sample data","v_CA16_3957: Total visible minority population"
"200","35240588","DA","Oakville",0.07437,238,179,139,"3524001","3524","5350603.00","35535",238,45,60,260,20
"201","35240589","DA","Oakville",0.14978,845,519,505,"3524001","3524","5350603.00","35535",845,50,330,755,155
"202","35240600","DA","Oakville",2.16424,1054,393,384,"3524001","3524","5350614.02","35535",1054,225,0,1030,185
"203","35240601","DA","Oakville",0.66656,1502,804,707,"3524001","3524","5350613.04","35535",1502,90,560,1390,410
"204","35240602","DA","Oakville",0.7209,876,306,303,"3524001","3524","5350612.05","35535",876,165,0,930,240
"205","35240603","DA","Oakville",1.90149,5586,1784,1761,"3524001","3524","5350610.02","35535",5586,1480,0,5685,1995
"206","35240604","DA","Oakville",0.11814,419,124,124,"3524001","3524","5350612.12","35535",419,120,0,375,65
"207","35240605","DA","Oakville",0.09992,461,138,137,"3524001","3524","5350612.12","35535",461,135,0,515,125
"208","35240606","DA","Oakville",0.08042,392,113,113,"3524001","3524","5350612.12","35535",392,110,0,385,55
"209","35240607","DA","Oakville",0.12698,635,195,195,"3524001","3524","5350612.12","35535",635,60,0,545,145
"210","35240608","DA","Oakville",0.06212,343,100,100,"3524001","3524","5350612.12","35535",343,65,0,290,75
"211","35240609","DA","Oakville",0.11242,456,129,129,"3524001","3524","5350612.12","35535",456,125,0,480,135
"212","35240610","DA","Oakville",0.17072,433,127,127,"3524001","3524","5350612.27","35535",433,125,0,430,100
"213","35240611","DA","Oakville",0.23532,594,173,170,"3524001","3524","5350612.27","35535",594,140,0,615,175
"214","35240612","DA","Oakville",0.0674,375,110,110,"3524001","3524","5350612.27","35535",375,85,0,335,100
"215","35240613","DA","Oakville",0.21687,506,156,156,"3524001","3524","5350612.27","35535",506,130,0,540,185
"216","35240614","DA","Oakville",0.16573,642,214,213,"3524001","3524","5350612.27","35535",642,85,0,620,180
"217","35240615","DA","Oakville",0.23464,928,332,322,"3524001","3524","5350613.03","35535",928,130,0,1000,230
"218","35240616","DA","Oakville",0.22961,603,183,181,"3524001","3524","5350600.02","35535",603,140,0,575,210
"219","35240619","DA","Oakville",1.28857,1321,410,409,"3524001","3524","5350612.11","35535",1321,320,0,1270,315
"220","35240620","DA","Oakville",0.1717,409,117,117,"3524001","3524","5350612.11","35535",409,115,0,415,115
"221","35240687","DA","Oakville",4.0821,7111,2194,2167,"3524001","3524","5350612.15","35535",7111,1090,0,6995,2915
"222","35240688","DA","Oakville",0.14014,1017,335,329,"3524001","3524","5350612.22","35535",1017,45,0,985,480
"223","35240689","DA","Oakville",0.09432,779,230,230,"3524001","3524","5350612.23","35535",779,110,0,735,310
"224","35240691","DA","Oakville",0.2696,966,242,241,"3524001","3524","5350612.23","35535",966,160,0,830,445
"225","35240695","DA","Oakville",0.07397,608,209,207,"3524001","3524","5350612.21","35535",608,60,0,640,315
