"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","v_CA21_560: Median total income in 2020 among recipients ($)","v_CA21_674: Under $10,000 (including loss)","v_CA21_677: $10,000 to $19,999","v_CA21_680: $20,000 to $29,999","v_CA21_683: $30,000 to $39,999","v_CA21_686: $40,000 to $49,999","v_CA21_689: $50,000 to $59,999","v_CA21_692: $60,000 to $69,999","v_CA21_695: $70,000 to $79,999","v_CA21_698: $80,000 to $89,999","v_CA21_701: $90,000 to $99,999","v_CA21_707: $100,000 to $149,999","v_CA21_710: $150,000 and over","v_CA21_915: Average total income of household in 2020 ($)","v_CA21_916: Average after-tax income of household in 2020 ($)","v_CA21_4407: Non-immigrants","v_CA21_4410: Immigrants","v_CA21_4434: Non-permanent residents","v_CA21_4878: South Asian","v_CA21_4881: Chinese","v_CA21_4884: Black","v_CA21_4887: Filipino","v_CA21_4890: Arab","v_CA21_4893: Latin American","v_CA21_4896: Southeast Asian","v_CA21_4899: West Asian","v_CA21_4902: Korean","v_CA21_4905: Japanese","v_CA21_4908: Visible minority, n.i.e.","v_CA21_4911: Multiple visible minorities","v_CA21_4914: Not a visible minority","v_CA21_5868: No certificate, diploma or degree","v_CA21_5871: High (secondary) school diploma or equivalency certificate","v_CA21_5898: Bachelor's degree","v_CA21_5901: University certificate or diploma above bachelor level"
"248","35240771","DA","35240771",0.1581,778,221,215,"3524001","3524","5350612.29","35535",35600,100,70,65,45,30,15,20,20,20,5,70,70,176000,131000,355,445,0,230,130,0,0,130,0,0,0,45,0,0,15,210,0,65,155,25
"249","35240772","DA","35240772",0.2587,876,228,225,"3524001","3524","5350612.28","35535",44000,110,75,65,55,30,30,20,30,15,20,70,115,268000,194000,505,370,0,230,250,0,20,55,0,0,0,0,0,0,0,270,0,25,210,10
"250","35240773","DA","35240773",0.1773,954,236,232,"3524001","3524","5350612.29","35535",46400,120,70,80,40,40,40,25,30,20,25,85,120,312000,216000,385,435,25,195,115,30,0,100,25,0,0,0,0,0,20,320,0,30,175,20
"251","35240774","DA","35240774",0.2762,917,276,272,"3524001","3524","5350612.28","35535",45600,110,85,75,65,45,40,30,35,25,25,60,125,216000,155000,490,370,10,165,180,0,0,70,0,0,0,0,0,0,0,425,0,35,225,20
"252","35240776","DA","35240776",0.1969,1655,717,682,"3524001","3524","5350612.29","35535",40000,150,185,190,140,90,80,75,70,55,55,145,100,128400,1e+05,630,975,65,350,300,50,30,155,20,0,0,60,0,10,55,645,15,100,285,50
"253","35240777","DA","35240777",0.1902,784,217,214,"3524001","3524","5350612.25","35535",44000,95,75,75,45,25,25,25,15,20,25,85,80,232000,174000,380,400,0,215,180,0,15,0,0,0,0,40,0,0,20,270,0,20,215,10
"254","35240779","DA","35240779",0.4706,865,250,244,"3524001","3524","5350612.25","35535",48400,90,90,75,60,30,50,20,20,30,20,90,110,274000,2e+05,475,390,0,170,220,0,20,80,0,0,0,0,0,0,0,295,15,25,200,15
"255","35240786","DA","35240786",0.6738,2067,1156,925,"3524001","3524","5350612.26","35535",50400,140,145,170,140,140,140,125,100,90,75,185,35,93800,78600,695,900,345,550,115,170,35,75,90,20,35,30,15,0,40,760,45,120,505,50
"256","35240787","DA","35240787",0.2197,1627,688,649,"3524001","3524","5350612.26","35535",50400,110,100,120,95,110,85,80,65,55,45,145,75,107400,87000,670,615,60,215,95,60,20,100,80,0,0,20,0,0,30,715,15,105,340,10
"257","35240788","DA","35240788",0.0734,654,230,226,"3524001","3524","5350612.26","35535",58000,50,50,45,30,35,30,30,35,30,25,60,55,158000,124000,480,175,0,50,45,0,0,0,0,15,0,20,0,0,10,500,15,50,115,0
"258","35240789","DA","35240789",0.0851,1464,756,732,"3524001","3524","5350612.26","35535",49200,95,115,160,120,115,115,100,75,70,45,145,55,92400,77600,795,685,15,100,130,70,35,110,20,15,10,40,15,0,0,905,25,100,325,35
"259","35240790","DA","35240790",0.0752,561,226,222,"3524001","3524","5350612.26","35535",57600,45,45,55,30,25,30,30,30,25,15,65,45,136000,108000,365,205,0,30,95,20,0,0,0,0,0,35,0,0,0,345,10,50,95,15
"260","35240816","DA","35240816",0.3146,524,206,203,"3524001","3524","5350612.08","35535",46000,40,55,45,35,40,35,30,25,20,10,45,25,119000,96000,290,210,15,85,80,0,25,25,0,0,0,0,0,0,0,300,30,40,90,0
