"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","v_CA16_7: 0 to 4 years","v_CA16_25: 5 to 9 years","v_CA16_43: 10 to 14 years","v_CA16_64: 15 to 19 years","v_CA16_82: 20 to 24 years","v_CA16_100: 25 to 29 years","v_CA16_118: 30 to 34 years","v_CA16_136: 35 to 39 years","v_CA16_154: 40 to 44 years","v_CA16_172: 45 to 49 years","v_CA16_190: 50 to 54 years","v_CA16_208: 55 to 59 years","v_CA16_226: 60 to 64 years","v_CA16_247: 65 to 69 years","v_CA16_265: 70 to 74 years","v_CA16_283: 75 to 79 years","v_CA16_301: 80 to 84 years","v_CA16_319: 85 years and over","v_CA16_2213: Median after-tax income in 2015 among recipients ($)","v_CA16_2207: Median total income in 2015 among recipients ($)"
"106","35240219","DA","Oakville",0.18719,596,253,244,"3524001","3524","5350603.00","35535",30,30,35,25,35,35,20,40,60,40,40,45,35,30,25,20,30,10,32160,34496
"107","35240220","DA","Oakville",0.14596,1248,743,710,"3524001","3524","5350603.00","35535",35,35,35,50,80,125,120,100,70,110,105,90,75,80,50,40,30,20,28160,30464
"108","35240221","DA","Oakville",0.33517,353,306,180,"3524001","3524","5350603.00","35535",15,15,20,15,35,55,45,30,20,30,20,15,10,15,10,10,0,5,32704,36480
"109","35240222","DA","Oakville",1.79407,349,145,134,"3524001","3524","5350606.00","35535",20,10,15,25,25,20,15,20,15,25,30,30,10,20,15,25,20,5,25856,27691
"110","35240223","DA","Oakville",0.09577,417,217,199,"3524001","3524","5350606.00","35535",15,20,20,20,35,35,25,35,25,40,20,45,25,15,10,15,10,10,27424,28736
"111","35240224","DA","Oakville",0.03339,610,289,285,"3524001","3524","5350603.00","35535",35,20,25,25,45,60,65,60,50,50,50,40,25,15,25,10,5,0,25611,26816
"112","35240225","DA","Oakville",0.07094,433,210,208,"3524001","3524","5350606.00","35535",25,20,20,20,30,20,20,35,30,35,35,30,25,25,25,10,15,5,23910,25792
"113","35240226","DA","Oakville",0.13252,468,272,260,"3524001","3524","5350606.00","35535",25,10,20,10,20,35,35,25,30,40,40,35,25,25,20,25,20,20,28544,31275
"114","35240227","DA","Oakville",0.15835,607,313,303,"3524001","3524","5350606.00","35535",30,15,15,25,25,40,55,40,25,40,50,50,45,45,40,35,20,20,32141,35627
"115","35240228","DA","Oakville",0.12803,469,151,148,"3524001","3524","5350606.00","35535",20,30,45,50,60,20,20,25,25,35,30,25,15,15,10,10,10,10,19008,19136
"116","35240229","DA","Oakville",0.203,401,146,136,"3524001","3524","5350606.00","35535",15,25,15,30,25,10,5,25,20,45,30,40,35,20,15,10,10,10,37248,40875
"117","35240230","DA","Oakville",0.15883,422,163,157,"3524001","3524","5350606.00","35535",15,25,20,15,20,15,25,30,35,30,25,20,25,25,15,30,25,25,27712,29280
"118","35240231","DA","Oakville",0.22882,457,181,170,"3524001","3524","5350606.00","35535",20,15,25,25,20,30,10,25,30,40,25,40,30,20,15,30,25,15,28480,30528
"119","35240232","DA","Oakville",0.17286,465,173,166,"3524001","3524","5350606.00","35535",25,25,20,35,20,10,20,30,45,40,35,45,30,30,10,20,10,15,30480,33088
"120","35240233","DA","Oakville",0.25088,604,232,221,"3524001","3524","5350606.00","35535",30,35,45,45,40,10,20,30,45,55,65,45,40,25,30,20,15,15,38485,42112
"121","35240234","DA","Oakville",0.41714,723,270,258,"3524001","3524","5350607.00","35535",35,50,40,40,45,35,35,50,45,45,50,60,50,45,35,15,25,20,34688,38869
"122","35240235","DA","Oakville",0.22878,505,182,177,"3524001","3524","5350607.00","35535",25,30,40,35,25,10,15,35,40,45,35,50,25,25,20,20,15,20,40640,45440
"123","35240236","DA","Oakville",0.14498,406,146,142,"3524001","3524","5350607.00","35535",20,25,20,25,25,20,15,25,35,35,25,40,25,30,20,10,5,15,35200,40448
"124","35240237","DA","Oakville",0.26064,517,189,183,"3524001","3524","5350607.00","35535",25,30,30,45,35,10,15,20,35,45,45,55,35,25,20,20,25,15,37760,42624
"125","35240238","DA","Oakville",0.17393,330,133,127,"3524001","3524","5350607.00","35535",15,10,20,15,20,10,25,20,25,20,20,30,15,10,20,15,15,20,34464,37952
"126","35240239","DA","Oakville",2.01247,497,194,185,"3524001","3524","5350607.00","35535",20,25,25,30,40,20,15,25,40,40,45,50,20,20,20,25,25,15,32832,36352
"127","35240240","DA","Oakville",0.17876,446,174,165,"3524001","3524","5350608.00","35535",20,20,20,40,30,20,20,30,30,45,50,30,15,20,15,15,20,10,33664,37760
"128","35240241","DA","Oakville",0.33456,557,204,194,"3524001","3524","5350608.00","35535",25,45,40,35,25,15,20,40,45,45,45,35,30,30,25,25,10,15,36352,40704
