"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","v_CA21_6498: Employed","v_CA21_6501: Unemployed","v_CA21_5868: No certificate, diploma or degree","v_CA21_5871: High (secondary) school diploma or equivalency certificate","v_CA21_5877: Postsecondary certificate or diploma below bachelor level","v_CA21_5895: Bachelor's degree or higher","v_CA21_1085: Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)","v_CA21_945: Under $5,000","v_CA21_946: $5,000 to $9,999","v_CA21_947: $10,000 to $14,999","v_CA21_948: $15,000 to $19,999","v_CA21_949: $20,000 to $24,999","v_CA21_950: $25,000 to $29,999","v_CA21_951: $30,000 to $34,999","v_CA21_952: $35,000 to $39,999","v_CA21_953: $40,000 to $44,999","v_CA21_954: $45,000 to $49,999","v_CA21_955: $50,000 to $59,999","v_CA21_956: $60,000 to $69,999","v_CA21_957: $70,000 to $79,999","v_CA21_958: $80,000 to $89,999","v_CA21_959: $90,000 to $99,999","v_CA21_960: $100,000 and over"
"186","35240577","DA","35240577",0.6841,627,217,202,"3524001","3524","5350609.00","35535",265,20,10,20,30,190,11.6,10,0,0,0,0,0,5,0,0,0,10,5,10,5,10,135
"187","35240578","DA","35240578",0.396,584,197,185,"3524001","3524","5350609.00","35535",210,40,0,30,40,220,10,5,0,0,0,0,0,0,5,0,5,5,5,10,10,5,125
"188","35240579","DA","35240579",0.4339,511,201,195,"3524001","3524","5350609.00","35535",185,15,0,35,50,125,7.2,0,0,0,5,5,15,10,0,15,15,10,10,10,15,5,80
"189","35240580","DA","35240580",0.3265,609,202,193,"3524001","3524","5350609.00","35535",260,30,0,40,30,220,4.4,10,0,0,0,0,0,0,5,5,5,5,5,10,10,10,125
"190","35240581","DA","35240581",0.316,612,189,187,"3524001","3524","5350609.00","35535",320,45,0,45,75,175,5.2,5,0,0,0,0,0,0,0,0,0,10,10,10,5,10,130
"191","35240582","DA","35240582",0.2216,493,191,185,"3524001","3524","5350610.04","35535",225,20,0,50,45,160,3.2,0,0,0,0,5,5,0,10,10,5,15,15,15,15,10,85
"192","35240583","DA","35240583",0.2159,522,189,174,"3524001","3524","5350610.04","35535",225,25,15,45,45,140,3.2,0,0,0,0,0,0,0,0,5,0,15,15,5,10,10,105
"193","35240584","DA","35240584",0.3688,669,272,253,"3524001","3524","5350605.00","35535",315,30,0,50,120,165,2.8,0,0,0,0,5,5,0,10,5,10,10,20,15,15,10,140
"194","35240585","DA","35240585",0.8123,805,329,314,"3524001","3524","5350605.00","35535",335,45,0,50,50,250,5.2,5,0,0,0,0,5,5,0,0,5,5,5,15,10,15,230
"195","35240586","DA","35240586",0.2036,532,231,222,"3524001","3524","5350605.00","35535",290,50,40,50,75,180,4,0,0,5,0,0,5,5,5,0,5,15,15,15,20,10,110
